season,date,home_team,away_team,home_odds,draw_odds,away_odds,over_1_5_odds,over_2_5_odds,btts_odds,source
2024,2024-09-23,Sport Huancayo,Los Chankas,1.78,3.43,4.06,1.22,1.8,1.67,footystats
2024,2024-09-23,Alianza Atlético,Comerciantes Unidos,1.49,4.05,6.29,1.29,1.88,1.95,footystats
2024,2024-09-22,César Vallejo,ADT,2.16,3.23,3.29,1.29,1.95,1.73,footystats
2024,2024-09-22,Universitario,Unión Comercio,1.09,9.41,22.1,1.1,1.4,2.63,footystats
2024,2024-09-22,Real Garcilaso,Sporting Cristal,2.04,3.33,3.22,1.22,1.82,1.69,footystats
2024,2024-09-21,Sport Boys,Alianza Lima,4.44,3.34,1.73,1.36,2.25,2.1,footystats
2024,2024-09-21,Deportivo Garcilaso,Cienciano,2.06,3.23,3.54,1.29,1.95,1.76,footystats
2024,2024-09-19,Carlos Manucci,Melgar,5.37,3.62,1.57,1.32,2.06,2.04,footystats
2024,2024-09-19,Los Chankas,UTC Cajamarca,1.59,3.88,4.69,1.17,1.63,1.67,footystats
2024,2024-09-19,Unión Comercio,Alianza Atlético,2.46,3.13,2.84,1.33,2.15,1.83,footystats
2024,2024-09-18,Universitario,Sport Boys,1.27,5.21,10.25,1.21,1.81,2.34,footystats
2024,2024-09-18,Cienciano,Sport Huancayo,2.01,3.23,3.7,1.29,2.01,1.8,footystats
2024,2024-09-18,Comerciantes Unidos,César Vallejo,2.36,3.08,2.79,1.3,2.05,1.73,footystats
2024,2024-09-18,Atlético Grau,Alianza Lima,3.39,2.89,2.17,1.5,2.5,2.05,footystats
2024,2024-09-17,ADT,Real Garcilaso,1.78,3.6,3.8,1.22,1.73,1.69,footystats
2024,2024-09-17,Sporting Cristal,Deportivo Garcilaso,1.28,5.25,7,1.1,1.44,1.83,footystats
2024,2024-09-15,Melgar,Los Chankas,1.22,5.13,8.38,1.1,1.44,1.73,footystats
2024,2024-09-15,Alianza Atlético,Universitario,3.7,3.1,2.1,1.38,2.08,1.83,footystats
2024,2024-09-14,Alianza Lima,Carlos Manucci,1.17,7,13,1.15,1.5,2.25,footystats
2024,2024-09-14,Sport Huancayo,Sporting Cristal,2.6,3.3,2.5,1.3,1.85,1.67,footystats
2024,2024-09-14,Sport Boys,Atlético Grau,2.5,3.1,2.63,1.4,2.15,1.83,footystats
2024,2024-09-14,Real Garcilaso,Comerciantes Unidos,1.29,4.75,10,1.24,1.73,2.2,footystats
2024,2024-09-13,César Vallejo,Unión Comercio,1.4,4.33,7,1.22,1.85,2,footystats
2024,2024-09-13,Deportivo Garcilaso,ADT,2.4,3.2,2.8,1.32,1.95,1.73,footystats
2024,2024-09-13,UTC Cajamarca,Cienciano,2.2,3.2,3.1,1.38,2.1,1.83,footystats
2024,2024-09-07,Melgar,Comerciantes Unidos,1.15,6.5,12,1.13,1.48,2.27,footystats
2024,2024-09-01,Unión Comercio,Atlético Grau,2.62,3.1,2.5,1.36,2.1,1.83,footystats
2024,2024-08-26,Carlos Manucci,Atlético Grau,2.7,3.1,2.4,1.33,2.05,1.84,footystats
2024,2024-08-26,Unión Comercio,Real Garcilaso,2.6,2.95,2.6,1.33,2.05,1.9,footystats
2024,2024-08-25,Cienciano,Melgar,3.23,3.12,2.09,1.32,2.05,1.9,footystats
2024,2024-08-25,Comerciantes Unidos,Deportivo Garcilaso,3,3.17,2.17,1.32,1.89,1.73,footystats
2024,2024-08-25,ADT,Sport Huancayo,1.59,3.65,4.85,1.2,1.72,1.84,footystats
2024,2024-08-25,Sporting Cristal,UTC Cajamarca,1.24,5.25,8.85,1.1,1.4,1.82,footystats
2024,2024-08-24,Universitario,César Vallejo,1.31,4.37,8.45,1.22,1.76,2.07,footystats
2024,2024-08-24,Los Chankas,Alianza Lima,2.97,3.23,2.16,1.25,1.9,1.74,footystats
2024,2024-08-24,Alianza Atlético,Sport Boys,1.94,3.32,4.46,1.37,2.15,2.04,footystats
2024,2024-08-21,Melgar,Sporting Cristal,1.6,3.95,5.02,1.22,1.6,1.63,footystats
2024,2024-08-21,Deportivo Garcilaso,Unión Comercio,1.4,4.42,6.21,1.14,1.57,1.8,footystats
2024,2024-08-21,Atlético Grau,Los Chankas,1.53,3.86,5.33,1.23,1.78,1.83,footystats
2024,2024-08-21,Sport Boys,Carlos Manucci,1.66,3.54,4.65,1.28,1.96,1.91,footystats
2024,2024-08-20,Alianza Lima,Cienciano,1.27,5.32,10.26,1.24,1.68,2.25,footystats
2024,2024-08-20,Real Garcilaso,Universitario,2.88,3,2.51,1.41,2.34,1.91,footystats
2024,2024-08-20,Sport Huancayo,Comerciantes Unidos,1.44,4.12,6.03,1.22,1.74,1.83,footystats
2024,2024-08-20,UTC Cajamarca,ADT,2.94,3.22,2.34,1.36,1.98,1.83,footystats
2024,2024-08-19,César Vallejo,Alianza Atlético,1.88,3.32,4.06,1.33,2.07,1.91,footystats
2024,2024-08-18,Los Chankas,Carlos Manucci,1.48,4,5.75,1.22,1.67,1.82,footystats
2024,2024-08-17,Sporting Cristal,Alianza Lima,2.2,3.1,3,1.33,2,1.81,footystats
2024,2024-08-17,Cienciano,Atlético Grau,1.78,3.3,4.2,1.3,2,1.91,footystats
2024,2024-08-17,Unión Comercio,Sport Huancayo,2,3.1,3.5,1.27,1.91,1.75,footystats
2024,2024-08-16,Universitario,Deportivo Garcilaso,1.13,6.7,14,1.13,1.45,2.07,footystats
2024,2024-08-16,César Vallejo,Sport Boys,2,3.2,3.4,1.33,2.1,1.86,footystats
2024,2024-08-16,ADT,Melgar,2.4,3,2.7,0,2.1,1.83,footystats
2024,2024-08-15,Comerciantes Unidos,UTC Cajamarca,2.25,3.19,3.12,1.33,2,1.8,footystats
2024,2024-08-15,Alianza Atlético,Real Garcilaso,2.14,2.98,3.37,1.38,2.23,1.94,footystats
2024,2024-08-11,Real Garcilaso,César Vallejo,1.5,3.78,5.72,1.3,1.83,2,footystats
2024,2024-08-11,Sport Huancayo,Universitario,3.06,3.07,2.23,1.4,2.15,1.91,footystats
2024,2024-08-11,Carlos Manucci,Cienciano,2.1,3,3.3,1.33,2,1.82,footystats
2024,2024-08-11,Atlético Grau,Sporting Cristal,2.62,3.3,2.38,1.25,1.8,1.61,footystats
2024,2024-08-10,Alianza Lima,ADT,1.41,3.93,6.9,0,1.95,2.2,footystats
2024,2024-08-10,Deportivo Garcilaso,Alianza Atlético,1.47,3.86,5.97,1.3,1.95,2,footystats
2024,2024-08-10,Sport Boys,Los Chankas,1.67,3.6,4.5,1.3,1.95,1.83,footystats
2024,2024-08-09,UTC Cajamarca,Unión Comercio,1.57,3.6,5.25,1.29,1.85,1.93,footystats
2024,2024-08-05,Real Garcilaso,Sport Boys,1.34,4.23,7.85,1.25,1.75,2.06,footystats
2024,2024-08-05,Alianza Atlético,Sport Huancayo,1.77,3.33,4.24,1.35,2.05,1.83,footystats
2024,2024-08-04,Universitario,UTC Cajamarca,1.16,5.42,10.64,1.24,1.73,2.63,footystats
2024,2024-08-04,ADT,Atlético Grau,1.68,3.45,4.59,1.33,1.87,1.85,footystats
2024,2024-08-04,Unión Comercio,Melgar,4.44,3.4,1.66,1.3,2,2,footystats
2024,2024-08-04,Sporting Cristal,Carlos Manucci,1.18,6.26,10.65,1.14,1.51,2,footystats
2024,2024-08-03,César Vallejo,Deportivo Garcilaso,1.73,3.41,4.38,1.27,1.9,1.8,footystats
2024,2024-08-03,Cienciano,Los Chankas,1.84,3.53,3.65,1.25,1.79,1.67,footystats
2024,2024-08-03,Comerciantes Unidos,Alianza Lima,4.92,3.66,1.6,1.39,2.08,2.05,footystats
2024,2024-08-01,UTC Cajamarca,Alianza Atlético,1.56,3.65,6.16,1.33,2,2.06,footystats
2024,2024-07-31,Melgar,Universitario,1.91,2.99,4.09,1.36,2.1,1.98,footystats
2024,2024-07-31,Carlos Manucci,ADT,3.56,3.05,2.04,1.33,2.07,1.83,footystats
2024,2024-07-31,Los Chankas,Sporting Cristal,2.8,3.46,2.19,1.25,1.78,1.67,footystats
2024,2024-07-31,Atlético Grau,Comerciantes Unidos,1.37,4.42,6.9,1.22,1.74,1.95,footystats
2024,2024-07-30,Alianza Lima,Unión Comercio,1.15,6.43,12.49,1.14,1.52,2.19,footystats
