MatchDate,TournamentId,Round,MatchId,HomeTeamId,HomeTeamName,AwayTeamId,AwayTeamName,HomeWinOdds,DrawOdds,AwayWinOdds
2023-05-26,406,1,201,0,Academia Cantolao,0,Deportivo Garcilaso,3.3,3.4,1.94
2023-05-22,406,1,202,0,Deportivo Binacional,0,UniÃ³n Comercio,1.4,4.25,6.25
2023-05-22,406,1,203,0,Sport Boys,0,UTC Cajamarca,2.24,3.15,2.87
2023-05-21,406,1,204,0,Deportivo Municipal,0,Sport Huancayo,2.2,3.4,3.1
2023-05-21,406,1,205,0,AtlÃ©tico Grau,0,Cienciano,1.87,3.6,3.9
2023-05-20,406,1,206,0,Sporting Cristal,0,Real Garcilaso,1.37,4.01,6.12
2023-05-20,406,1,207,0,Deportivo Garcilaso,0,Alianza AtlÃ©tico,1.4,4.25,7
2023-05-20,406,1,208,0,ADT,0,Academia Cantolao,1.3,4.6,7.5
2023-05-19,406,1,209,0,Universitario,0,CÃ©sar Vallejo,1.5,4.1,6
2023-05-19,406,1,210,0,Melgar,0,Alianza Lima,2,3.3,3.55
2023-05-17,406,1,211,0,Deportivo Binacional,0,Sporting Cristal,2.6,3.4,2.6
2023-05-17,406,1,212,0,Carlos Manucci,0,UTC Cajamarca,1.9,3.5,4
2023-05-16,406,1,213,0,Academia Cantolao,0,Sport Boys,2.5,3.2,2.6
2023-05-15,406,1,214,0,Alianza Lima,0,Deportivo Municipal,1.38,4.45,6.6
2023-05-15,406,1,215,0,Melgar,0,Deportivo Garcilaso,1.48,4.1,5.5
2023-05-14,406,1,216,0,Cienciano,0,CÃ©sar Vallejo,1.88,3.5,3.9
2023-05-14,406,1,217,0,Alianza AtlÃ©tico,0,Universitario,2.9,3.2,2.2
2023-05-13,406,1,218,0,Carlos Manucci,0,AtlÃ©tico Grau,2.15,3.25,2.57
2023-05-13,406,1,219,0,UniÃ³n Comercio,0,Sporting Cristal,3.4,3.55,1.9
2023-05-12,406,1,220,0,Deportivo Binacional,0,ADT,1.71,3.8,4.19
2023-05-12,406,1,221,0,Melgar,0,Sport Boys,1.16,6.9,16.5
2023-05-12,406,1,222,0,Sport Huancayo,0,UTC Cajamarca,1.62,3.6,4.45
2023-05-11,406,1,223,0,Alianza Lima,0,CÃ©sar Vallejo,1.33,4.3,5.8
2023-05-10,406,1,224,0,Cienciano,0,Alianza AtlÃ©tico,1.57,3.85,5.25
2023-05-08,406,1,225,0,UniÃ³n Comercio,0,Melgar,2.7,3.2,2.3
2023-05-07,406,1,226,0,Alianza Lima,0,Carlos Manucci,1.28,4.6,9
2023-05-07,406,1,227,0,CÃ©sar Vallejo,0,Sport Boys,1.4,4.2,6.5
2023-05-07,406,1,228,0,UTC Cajamarca,0,Sporting Cristal,3.3,3.2,2
2023-05-06,406,1,229,0,Cienciano,0,Deportivo Garcilaso,1.73,3.55,4.3
2023-05-06,406,1,230,0,Sport Huancayo,0,AtlÃ©tico Grau,1.6,3.8,5
2023-05-06,406,1,231,0,Alianza AtlÃ©tico,0,ADT,1.8,3.45,3.65
2023-05-05,406,1,232,0,Real Garcilaso,0,Deportivo Municipal,1.62,3.62,4.62
2023-05-05,406,1,233,0,Academia Cantolao,0,Deportivo Binacional,3.13,3.4,2.1
2023-04-30,406,1,234,0,Carlos Manucci,0,UniÃ³n Comercio,1.76,3.45,4
2023-04-30,406,1,235,0,ADT,0,Cienciano,1.99,3.3,3.3
2023-04-30,406,1,236,0,Deportivo Municipal,0,UTC Cajamarca,1.68,3.45,4.45
2023-04-30,406,1,237,0,Deportivo Binacional,0,Alianza AtlÃ©tico,1.53,3.6,5.5
2023-04-29,406,1,238,0,Melgar,0,Academia Cantolao,1.2,5.75,13
2023-04-29,406,1,239,0,Deportivo Garcilaso,0,Sport Huancayo,1.9,3.5,3.6
2023-04-29,406,1,240,0,Sport Boys,0,Universitario,5.5,3.6,1.53
2023-04-29,406,1,241,0,AtlÃ©tico Grau,0,Real Garcilaso,1.82,3.26,3.53
2023-04-28,406,1,242,0,Sporting Cristal,0,CÃ©sar Vallejo,1.36,3.94,6.7
2023-04-24,406,1,243,0,Universitario,0,Sporting Cristal,2.15,3.25,3
2023-04-24,406,1,244,0,CÃ©sar Vallejo,0,Deportivo Municipal,1.6,3.4,5.75
2023-04-24,406,1,245,0,Alianza AtlÃ©tico,0,Melgar,2.2,3,3.25
2023-04-23,406,1,246,0,Real Garcilaso,0,Deportivo Garcilaso,1.69,3.38,3.94
2023-04-23,406,1,247,0,UniÃ³n Comercio,0,Alianza Lima,3.92,3.3,1.66
2023-04-22,406,1,248,0,Cienciano,0,Deportivo Binacional,1.57,3.7,5.5
2023-04-22,406,1,249,0,Sport Huancayo,0,ADT,1.53,3.5,6
2023-04-22,406,1,250,0,Academia Cantolao,0,Carlos Manucci,2.7,3.1,2.4
2023-04-21,406,1,251,0,UTC Cajamarca,0,AtlÃ©tico Grau,1.85,3.5,3.9
2023-04-16,406,1,252,0,Carlos Manucci,0,Alianza AtlÃ©tico,2.33,3.3,2.59
2023-04-16,406,1,253,0,Deportivo Binacional,0,Sport Huancayo,2.24,3.35,2.67
2023-04-16,406,1,254,0,Deportivo Municipal,0,Universitario,3.05,3.1,2.13
2023-04-16,406,1,255,0,ADT,0,Real Garcilaso,2.09,3.15,3.17
2023-04-16,406,1,256,0,Deportivo Garcilaso,0,UTC Cajamarca,1.75,3.4,3.95
2023-04-15,406,1,257,0,Alianza Lima,0,Academia Cantolao,1.25,5,12
2023-04-15,406,1,258,0,AtlÃ©tico Grau,0,CÃ©sar Vallejo,2.13,3.46,3.22
2023-04-14,406,1,259,0,Melgar,0,Cienciano,1.78,3.25,3.95
2023-04-14,406,1,260,0,Sporting Cristal,0,Sport Boys,1.25,5.2,7.8
2023-04-10,406,1,261,0,CÃ©sar Vallejo,0,Deportivo Garcilaso,1.67,3.6,4.5
2023-04-10,406,1,262,0,Academia Cantolao,0,UniÃ³n Comercio,2.5,3.1,2.63
2023-04-09,406,1,263,0,Universitario,0,AtlÃ©tico Grau,1.48,4.2,6.35
2023-04-09,406,1,264,0,Sport Huancayo,0,Melgar,2.24,3.22,3
2023-04-09,406,1,265,0,Alianza AtlÃ©tico,0,Alianza Lima,3.15,3.13,2.16
2023-04-08,406,1,266,0,Cienciano,0,Carlos Manucci,1.25,5,11
2023-04-08,406,1,267,0,UTC Cajamarca,0,ADT,2.2,3.13,3.2
2023-04-08,406,1,268,0,Sport Boys,0,Deportivo Municipal,2.18,3.4,3.14
2023-04-07,406,1,269,0,Real Garcilaso,0,Deportivo Binacional,1.58,3.48,4.56
2023-04-02,406,1,270,0,Deportivo Binacional,0,UTC Cajamarca,1.8,3.8,4.3
2023-04-02,406,1,271,0,AtlÃ©tico Grau,0,Sport Boys,1.55,4.3,5.8
2023-04-02,406,1,272,0,Carlos Manucci,0,Sport Huancayo,2.23,3.45,3.2
2023-04-02,406,1,273,0,UniÃ³n Comercio,0,Alianza AtlÃ©tico,2.05,3.3,3.45
2023-04-01,406,1,274,0,Alianza Lima,0,Cienciano,1.37,5,8.4
2023-04-01,406,1,275,0,Melgar,0,Real Garcilaso,1.57,3.75,4.75
2023-03-31,406,1,276,0,Deportivo Garcilaso,0,Universitario,2.59,3.34,2.6
2023-03-31,406,1,277,0,ADT,0,CÃ©sar Vallejo,1.91,3.3,3.5
2023-03-31,406,1,278,0,Deportivo Municipal,0,Sporting Cristal,4.5,3.75,1.62
2023-03-27,406,1,279,0,UTC Cajamarca,0,Real Garcilaso,1.7,3.5,4.33
2023-03-26,406,1,280,0,Deportivo Garcilaso,0,Carlos Manucci,1.5,3.9,5.25
2023-03-26,406,1,281,0,Sport Boys,0,Alianza AtlÃ©tico,2.35,3.05,2.85
2023-03-26,406,1,282,0,ADT,0,Melgar,2.95,3.05,2.35
2023-03-26,406,1,283,0,AtlÃ©tico Grau,0,Alianza Lima,3.2,3.2,2.02
2023-03-26,406,1,284,0,Deportivo Municipal,0,UniÃ³n Comercio,2.2,3.1,3.1
2023-03-25,406,1,285,0,CÃ©sar Vallejo,0,Sport Huancayo,1.7,3.5,4.4
2023-03-25,406,1,286,0,Sporting Cristal,0,Academia Cantolao,1.14,6,17
2023-03-24,406,1,287,0,Universitario,0,Cienciano,1.4,4.2,7
2023-03-20,406,1,288,0,Real Garcilaso,0,Carlos Manucci,1.49,3.83,5.65
2023-03-19,406,1,289,0,Sport Huancayo,0,Alianza Lima,2.55,3.2,2.37
2023-03-19,406,1,290,0,Sporting Cristal,0,AtlÃ©tico Grau,1.42,3.9,6.25
2023-03-19,406,1,291,0,CÃ©sar Vallejo,0,Deportivo Binacional,1.6,3.45,5
2023-03-18,406,1,292,0,Universitario,0,ADT,1.33,4.5,8.5
